log2_N,Init_T,FFT_T,RMS_T,Total_T
8,13,33,1,47
8,11,25,0,36
8,12,23,1,36
8,12,23,1,36
8,12,23,1,36
8,11,24,0,35
8,11,24,0,35
8,11,24,0,35
8,12,24,0,36
8,12,23,1,36
9,23,60,1,84
9,23,53,1,77
9,23,53,0,76
9,22,54,0,76
9,23,54,0,77
9,22,54,0,76
9,22,54,0,76
9,22,54,0,76
9,23,53,1,77
9,23,53,0,76
10,45,138,1,184
10,45,121,0,166
10,45,120,0,165
10,45,120,0,165
10,44,120,1,165
10,45,120,0,165
10,45,120,0,165
10,44,120,1,165
10,45,120,0,165
10,45,119,1,165
11,96,307,0,403
11,89,272,0,361
11,89,270,0,359
11,90,272,1,363
11,90,270,1,361
11,89,271,0,360
11,89,272,0,361
11,89,271,0,360
11,89,271,0,360
11,89,271,0,360
12,179,792,0,971
12,178,719,0,897
12,178,720,1,899
12,178,797,0,975
12,178,718,1,897
12,178,719,1,898
12,178,716,0,894
12,178,722,0,900
12,178,721,0,899
12,178,714,0,892
13,355,1887,1,2243
13,356,1812,0,2168
13,356,1781,0,2137
13,356,1782,0,2138
13,356,1780,0,2136
13,356,1780,1,2137
13,372,1779,1,2152
13,355,1780,0,2135
13,355,1780,0,2135
13,356,1776,0,2132
14,751,4123,1,4875
14,711,3893,0,4604
14,710,3940,1,4651
14,711,3897,1,4609
14,711,3931,0,4642
14,711,3894,1,4606
14,711,4098,1,4810
14,711,3897,0,4608
14,711,3919,0,4630
14,711,3900,0,4611
15,1764,9383,1,11148
15,1496,9008,2,10506
15,1476,9238,1,10715
15,1422,9025,1,10448
15,1422,9080,1,10503
15,1422,9050,1,10473
15,1423,9050,1,10474
15,1422,9073,2,10497
15,1425,9052,1,10478
15,1422,9063,1,10486
16,3564,23810,1,27375
16,2850,22858,1,25709
16,2976,22808,1,25785
16,2849,23011,1,25861
16,2850,22817,1,25668
16,2852,22932,1,25785
16,2851,22805,1,25657
16,2910,22845,1,25756
16,2850,22875,1,25726
16,2916,22828,1,25745
17,7315,61264,0,68579
17,5781,59747,1,65529
17,5708,59775,1,65484
17,5772,59778,1,65551
17,5705,59861,1,65567
17,5765,59882,1,65648
17,5777,59669,1,65447
17,5703,59673,1,65377
17,5781,59753,1,65535
17,5707,59653,2,65362
18,14699,133704,1,148404
18,11489,131022,1,142512
18,11496,131149,1,142646
18,11494,130824,1,142319
18,11534,131040,2,142576
18,11487,130977,1,142465
18,11487,130922,1,142410
18,11486,131043,1,142530
18,11541,130991,1,142533
18,11483,130887,1,142371
19,29588,363864,1,393453
19,22957,356794,1,379752
19,22958,356956,2,379916
19,22948,356881,1,379830
19,23049,356953,1,380003
19,22950,363949,1,386900
19,23228,359877,1,383106
19,23203,359458,1,382662
19,23185,360423,1,383609
19,23428,361477,1,384906
20,60512,762922,1,823435
20,46774,745565,1,792340
20,47475,746893,1,794369
20,46374,750257,1,796632
20,46413,746240,1,792654
20,46408,745630,1,792039
20,46404,746414,1,792819
20,46402,748258,1,794661
20,46727,745441,1,792169
20,46455,745981,1,792437
21,120412,1584368,1,1704781
21,93961,1547037,1,1640999
21,93221,1544902,1,1638124
21,92901,1544286,1,1637188
21,92807,1544352,1,1637160
21,93035,1545026,1,1638062
21,93123,1547103,1,1640227
21,92892,1545527,1,1638420
21,93044,1545781,1,1638826
21,93008,1546757,1,1639766
22,240946,4627814,1,4868761
22,194715,3259864,1,3454580
22,189641,3227314,1,3416956
22,201558,3953245,2,4154805
22,21215993,6210028,1,27426022
22,196010,3189802,2,3385814
22,186064,3191695,1,3377760
22,185869,3188156,1,3374026
22,186797,3190064,1,3376862
22,186061,3188388,2,3374451
